"","Gene","Rep2","FPKM.cellexpress","LOG.FPKM.0.01.","Curve"
"748","FBgn0036018",-6.3903,10.008105,"1.00078557922828",1
"854","FBgn0027330",-6.3871,23.59785,"1.37305643707225",1
"729","FBgn0039977",-6.3689,18.64965,"1.27090349340329",1
"254","FBgn0039904",-6.3618,13.64795,"1.135385518489",1
"309","FBgn0026427",-6.3605,10.384705,"1.01681216863717",1
"1281","FBgn0011760",-6.3401,186.301,"2.27023849686227",1
"730","FBgn0032987",-6.3388,4123.455,"3.61526231262017",1
"1224","FBgn0031312",-6.3383,82.10165,"1.91440477918734",1
"444","FBgn0053229",-6.3343,22.44015,"1.35121924707452",1
"2378","FBgn0038427",-6.3335,17.619,"1.24622767776732",1
"937","FBgn0000063",-6.3312,9.113335,"0.960153622028138",1
"609","FBgn0262714",-6.3308,10.5,"1.02160271602824",1
"527","FBgn0010747",-6.3277,53.62605,"1.72945678695791",1
"402","FBgn0003165",-6.3104,60.7457,"1.78358702897686",1
"1034","FBgn0017418",-6.3084,15.95395,"1.20314035887908",1
"799","FBgn0003884",-6.3038,1407.049,"3.14831230840647",1
"656","FBgn0010786",-6.2971,125.147,"2.0974551446063",1
"862","FBgn0034654",-6.2958,259.2975,"2.41381507813267",1
"771","FBgn0035694",-6.2953,0.04703115,"-1.24388787103073",0
"1036","FBgn0030790",-6.2902,16.5446,"1.21891869158815",1
"954","FBgn0038146",-6.2885,36.44195,"1.56172076589371",1
"694","FBgn0031871",-6.2752,25.72765,"1.41056889071817",1
"604","FBgn0051713",-6.2661,10.9785,"1.04093841251596",1
"1385","FBgn0085436",-6.2613,59.48135,"1.77445382420986",1
"289","FBgn0260407",-6.2545,26.4811,"1.42309999204625",1
"2204","FBgn0033431",-6.2518,21.51725,"1.33298855438895",1
"2067","FBgn0266268",-6.2462,41.5,"1.61815273337852",1
"421","FBgn0044511",-6.2303,49.95505,"1.69866632634534",1
"861","FBgn0040623",-6.229,92.11245,"1.96436547952376",1
"939","FBgn0028554",-6.2214,86.0919,"1.93501273508212",1
"1122","FBgn0260223",-6.2192,206.5585,"2.31506409589032",1
"667","FBgn0037105",-6.2005,3.574725,"0.55445584464442",1
"796","FBgn0052479",-6.1915,28.41495,"1.45369970942861",1
"919","FBgn0260390",-6.1873,21.84595,"1.33956968846424",1
"345","FBgn0011217",-6.1845,187.533,"2.27310085884607",1
"449","FBgn0023171",-6.1797,21.9774,"1.34217387727293",1
"702","FBgn0038269",-6.1747,12.88295,"1.11035229843487",1
"483","FBgn0004797",-6.1738,8.39764,"0.924674107710877",1
"775","FBgn0267727",-6.1737,322,"2.50786935889267",1
"1030","FBgn0036374",-6.1714,7.94949,"0.900885241446017",1
"693","FBgn0032234",-6.169,9.13721,"0.961288649654005",1
"1062","FBgn0036825",-6.1661,4650.615,"3.66751132188163",1
"174","FBgn0038145",-6.1612,239.6875,"2.37966350444723",1
"435","FBgn0263755",-6.1589,11.5,"1.06107532362979",1
"980","FBgn0031897",-6.1487,11.17977,"1.04882115991911",1
"898","FBgn0015359",-6.1464,45.532,"1.65841209896009",1
"657","FBgn0029512",-6.1349,83.0723,"1.9195085107745",1
"687","FBgn0266917",-6.1292,33.5,"1.52517442783527",1
"496","FBgn0024285",-6.1088,80.88355,"1.90791389477567",1
"268","FBgn0033259",-6.1005,22.4921,"1.35222305037153",1
"886","FBgn0038683",-6.0944,24.76515,"1.39401629258113",1
"740","FBgn0003545",-6.0919,16.3644,"1.21416539529202",1
"492","FBgn0019644",-6.0854,317.453,"2.50169311598327",1
"494","FBgn0030809",-6.0825,28.0238,"1.44768197065273",1
"1013","FBgn0033062",-6.0823,34.6204,"1.53945750791647",1
"56","FBgn0016700",-6.0816,124.2455,"2.09431562128292",1
"965","FBgn0261067",-6.0809,29.39695,"1.46844998313138",1
"618","FBgn0029941",-6.0701,53.5136,"1.72854531641063",1
"690","FBgn0003209",-6.0577,12.43685,"1.09505945579232",1
"981","FBgn0044030",-6.0551,51.05255,"1.70810249913404",1
"612","FBgn0030552",-6.0545,34.621,"1.53946503235834",1
"883","FBgn0010314",-6.0531,33.6317,"1.52687793367655",1
"782","FBgn0004103",-6.052,170.498,"2.23174476030416",1
"797","FBgn0043364",-6.0406,32.67315,"1.51432390715324",1
"1154","FBgn0016715",-6.0227,8.696218,"0.939829537506851",1
"652","FBgn0261068",-6.0218,74.7203,"1.87349672570703",1
"715","FBgn0038274",-6.0108,27.33325,"1.43685013324499",1
"923","FBgn0033845",-6.0077,28.0286,"1.44775632500597",1
"1194","FBgn0050349",-6.007,53.9184,"1.73181753541001",1
"512","FBgn0028836",-6.0052,41.48905,"1.61803815491739",1
"731","FBgn0000308",-6.0035,648.897,"2.81218245907935",1
"551","FBgn0030572",-6.0014,52.418,"1.71956329075719",1
"750","FBgn0032597",-6.0006,53.1373,"1.72548120630267",1
"680","FBgn0000546",-5.9969,11.256845,"1.05180231969139",1
"660","FBgn0034240",-5.9964,11.64235,"1.06641352099389",1
"495","FBgn0082598",-5.993,117.63855,"2.07058657893338",1
"283","FBgn0263977",-5.9879,223.5,"2.3492969585537",1
"739","FBgn0031051",-5.9804,30.2302,"1.48058465913767",1
"589","FBgn0259214",-5.9787,48.29215,"1.68396646227025",1
"594","FBgn0023180",-5.9766,10.67503,"1.02877574585584",1
"1226","FBgn0039158",-5.9628,11.23885,"1.05110812563113",1
