Gene,Rep1,Rep2,avgatsglevel,FPKM cellexpress,LOG(FPKM+0.01),Curve
FBgn0086265,1.763,3.0461,2.3038,0.128993,-0.857007071241763,0
FBgn0085239,3.4319,1.4518,2.3047,0.031951,-1.37725768228926,0
FBgn0030455,1.7287,2.9248,2.3052,0.0938827,-0.983456771211943,0
FBgn0030396,4.1241,0.54888,2.3057,1.8444345,0.268211498332771,1
FBgn0030390,2.6134,2.1619,2.3062,0.03876035,-1.31193318569264,0
FBgn0260482,4.7205,-0.30669,2.3066,0.08724495,-1.0121329426406,0
FBgn0010296,3.306,1.2949,2.3078,0.0669895,-1.11356850084055,0
FBgn0029093,2.7107,2.4987,2.309,655.2435,2.81640934938457,1
FBgn0000455,3.7129,0.40734,2.309,37.84735,1.57815021024435,1
FBgn0035953,4.245,0.36731,2.3117,9.45034,0.975906745013886,1
FBgn0028913,2.0851,2.441,2.3127,0,-2,0
FBgn0030013,1.6343,2.9538,2.3129,24.2656,1.38516997281151,1
FBgn0250908,0.87903,3.1427,2.3129,0.03857045,-1.31362787281662,0
FBgn0259715,3.0753,1.7752,2.3137,52.08476475,1.71679408118,1
FBgn0003257,2.3282,2.3378,2.3144,55.0046,1.74047795963972,1
FBgn0039659,3.1631,1.6211,2.3144,0.174018,-0.735139693738663,0
FBgn0039666,1.3045,2.5832,2.3155,0.02058825,-1.5144453689481,0
FBgn0033087,1.4285,3.2444,2.3159,10.02149,1.00136544455762,1
FBgn0027498,0.58079,3.5834,2.3161,17.850325,1.25188935737573,1
FBgn0265269,3.4438,1.2787,2.3162,0,-2,0
FBgn0039395,1.9858,2.3444,2.317,0,-2,0
FBgn0050446,3.643,1.1005,2.3176,0.24524,-0.593051264049646,0
FBgn0267449,3.2055,1.7439,2.3177,0,-2,0
FBgn0030088,2.3284,2.479,2.3181,9.141275,0.96148160629473,1
FBgn0032399,1.7993,3.0708,2.3182,0.8185245,-0.081694644688838,0
FBgn0030459,4.493,0.065986,2.3182,0.2198945,-0.638471418675144,0
FBgn0034841,4.0101,0.40625,2.3188,0,-2,0
FBgn0001258,2.6339,1.5012,2.3191,354.35575,2.54945174000732,1
FBgn0037044,1.6071,3.0937,2.32,21.5271,1.33318722455215,1
FBgn0266539,0.92166,3.7191,2.3203,41,1.61288976928748,1
FBgn0010431,4.8052,-0.21226,2.3205,0.1248355,-0.87019575005332,0
FBgn0002573,0.29487,3.8879,2.3215,0.01191515,-1.65925555243647,0
FBgn0265608,3.1987,1.4413,2.3219,0,-2,0
FBgn0039634,3.0995,1.7081,2.322,25.1443,1.40061223617708,1
FBgn0261277,1.7274,2.9589,2.3225,1.129405,0.056678120919893,1
FBgn0038708,3.5609,0.83126,2.3231,0.0939435,-0.983202663642705,0
FBgn0260857,2.3031,2.8001,2.325,37.0063,1.56839300626212,1
FBgn0034942,2.3146,2.444,2.3251,0.0426944,-1.27823553617882,0
FBgn0030519,4.5698,-0.42468,2.3261,106.108,2.02578905626366,1
FBgn0015524,2.5421,2.404,2.3276,0.0215745,-1.50066351801603,0
FBgn0034793,2.0289,2.5674,2.3282,101.4896,2.00646433074051,1
FBgn0261260,-0.23096,2.1817,2.3286,10.693569,1.02952861306479,1
FBgn0015577,-0.63206,4.6331,2.3291,6.00663,0.779353304843977,1
FBgn0035685,3.457,1.5378,2.3294,0,-2,0
FBgn0038735,2.3235,2.2417,2.3299,10.74551,1.03163100839474,1
FBgn0261507,2.7429,1.4235,2.3307,1.5,0.178976947293169,1
FBgn0262000,1.7765,3.1581,2.3311,0,-2,0
FBgn0050464,1.8468,2.751,2.3315,0,-2,0
FBgn0050148,3.9868,0.58901,2.3316,3.2247447,0.509840009964071,1
FBgn0087012,4.9289,-0.32098,2.3325,0.01232571,-1.65119472083005,0
FBgn0051155,-0.84349,4.7408,2.3336,28.312,1.45212391844904,1
FBgn0035551,2.9439,1.5388,2.3352,0,-2,0
FBgn0034707,6.1636,-2.9911,2.3354,10.741965,1.03148784198843,1
FBgn0040352,2.6256,2.1406,2.336,0.02051935,-1.51542472020665,0
FBgn0000084,3.6939,1.1174,2.3372,96.77925,1.98582712461277,1
FBgn0017556,1.5202,2.7974,2.3377,0.2079544,-0.661634359147183,0
FBgn0035923,-0.17728,4.4639,2.3383,7.157145,0.85534619086034,1
FBgn0035246,2.463,2.5166,2.3386,0.807273,-0.087632848499164,0
FBgn0026314,2.1283,2.1408,2.3388,0.057454,-1.17099229170861,0
